"seqno","organizer","tel","extension","mobile telephone","zipcode","district","hosp_addr","type","location","mon_stime","mon_dtime","tue_stime","tue_dtime","wed_stime","wed_dtime","thu_stime","thu_dtime","fri_stime","fri_dtime","sat_stime","sat_dtime","sun_stime","sun_dtime","remark","date","battery expiration date","electrical pads expiration date"
"5446","新北市私立及人國民小學","29212145","","","234","永和區","新北市永和區文化路172號","學校、大型集會場所","紫光樓一樓健康中心","07:30:00","17:30:00","07:30:00","17:30:00","07:30:00","17:30:00","07:30:00","17:30:00","07:30:00","17:30:00","07:30:00","17:30:00","07:30:00","17:30:00","2023-10-31 10:16:01","2018-10-02","",""
"56359","新北市永和國父紀念館","29231345","","","234","永和區","新北市永和區竹林路202號","其他","一樓館內進門","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","","","","","2021-12-20 19:58:12","2018-05-28","",""
"2769","臺北捷運頂溪站O04","(02)21812345","","","234","永和區","新北市永和區永和路二段168號","交通要衝","臺北捷運頂溪站O04詢問處附近","06:00:00","01:00:00","06:00:00","01:00:00","06:00:00","01:00:00","06:00:00","01:00:00","06:00:00","01:00:00","06:00:00","01:00:00","06:00:00","01:00:00","2022-11-08 11:02:30","2022-11-07","",""
"8256","新北市政府環境保護局永和區清潔隊資源回收場","(02)2924-1885","","","234","永和區","新北市永和區保生路55-3號","其他","辦公室","07:00:00","22:00:00","07:00:00","22:00:00","07:00:00","22:00:00","07:00:00","22:00:00","07:00:00","22:00:00","07:00:00","22:00:00","","","2021-12-20 19:57:46","2016-04-29","",""
"10601","世樺牙醫診所","(02)2924-7865","","","234","永和區","新北市永和區永和路1段154號1樓","其他","診所內候診區","09:30:00","20:30:00","09:30:00","20:30:00","09:30:00","20:30:00","09:30:00","20:30:00","09:30:00","20:30:00","09:30:00","17:00:00","","","2021-12-20 19:56:26","2013-02-06","2016-05-21","2016-05-21"
"9674","新北市永和區永安公有零售市場","(02)2925-6805","","","234","永和區","新北市永和區安樂路431號","其他","市場1樓辦公室旁","07:00:00","14:00:00","07:00:00","14:00:00","07:00:00","14:00:00","07:00:00","14:00:00","07:00:00","14:00:00","07:00:00","14:00:00","07:00:00","14:00:00","2021-12-20 19:57:59","2024-05-15","2025-05-01","2025-07-28"
"9676","新北市永和區溪洲公有零售市場","(02)2925-6805","","","234","永和區","新北市永和區勵行街42-1號","其他","市場1樓側門旁","07:00:00","14:00:00","07:00:00","14:00:00","07:00:00","14:00:00","07:00:00","14:00:00","07:00:00","14:00:00","07:00:00","14:00:00","07:00:00","14:00:00","2021-12-20 19:57:59","2024-05-15","2024-03-25","2025-07-28"
"11274","打鐵健身房永和店","02-22315897","","","234","永和區","新北市永和區永和路二段209號B1","學校、大型集會場所","B1辦公室門口處","10:00:00","23:00:00","10:00:00","23:00:00","10:00:00","23:00:00","10:00:00","23:00:00","10:00:00","23:00:00","10:00:00","23:00:00","10:00:00","23:00:00","2021-12-20 19:58:10","2018-02-13","2026-08-31","2025-05-31"
"10556","新北市永和國民運動中心","0222318989","","","234","永和區","新北市永和區永利路250號","學校、大型集會場所","1F電梯口左前方","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","2021-12-20 19:58:04","2016-11-16","2025-07-27","2025-07-27"
"10556","新北市永和國民運動中心","0222318989","","","234","永和區","新北市永和區永利路250號","學校、大型集會場所","4F電梯口左前方","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","2021-12-20 19:58:04","2016-11-16","2019-09-09",""
"9413","新北市立永平高級中學","02-22319670","","","234","永和區","新北市永和區永平路205號","學校、大型集會場所","保健室","06:00:00","17:00:00","06:00:00","17:00:00","06:00:00","17:00:00","06:00:00","17:00:00","06:00:00","17:00:00","07:00:00","17:00:00","07:00:00","17:00:00","2021-12-20 19:56:31","2013-08-23","2021-09-11","2021-04-13"
"1566","香港商世界健身事業有限公司永和分公司","02-22328000","","","234","永和區","新北市永和區仁愛路309號B1","學校、大型集會場所","客服櫃檯旁","06:00:00","00:00:00","06:00:00","00:00:00","06:00:00","00:00:00","06:00:00","00:00:00","06:00:00","00:00:00","06:00:00","00:00:00","06:00:00","00:00:00","2021-12-20 19:56:42","2013-11-01","2023-12-31","2024-11-30"
"6974","新北市永和區永和國民小學","02-29214615","","","234","永和區","新北市永和區秀朗路1段120號","學校、大型集會場所","至善樓1樓","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","","","","","2021-12-20 19:56:54","2014-08-27","2024-10-31","2024-11-30"
"9348","新北市政府警察局永和分局中正橋派出所","02-29215119","","","234","永和區","新北市永和區永和路2段303號","其他","派出所一樓","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:57:03","2014-05-29","2026-07-31","2027-01-11"
"9528","新北市政府警察局永和分局新生派出所","02-29217119","","","234","永和區","新北市永和區仁愛路187號","其他","新北市政府警察局永和分局新生派出所","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:56:57","2014-05-26","2027-08-31","2025-09-22"
"9528","新北市政府警察局永和分局新生派出所","02-29217119","","","234","永和區","新北市永和區仁愛路187號","其他","派出所一樓","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","2021-12-20 19:57:03","2014-05-26","2023-12-30","2022-11-30"
"9347","新北市政府警察局永和分局交通分隊","02-29219944","","","234","永和區","新北市永和區新生路36號","其他","分隊二樓","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:57:49","2016-04-29","2017-12-31","2015-12-31"
"5330","鴻源汽車股份有限公司永和分公司","02-29220908","","","234","永和區","新北市永和區成功路1段80號","其他","永和區成功 路1段80號","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","09:00:00","17:00:00","2021-12-20 19:57:10","2014-09-09","2025-03-01","2025-03-03"
"43534","新北市立圖書館永和分館","0229222409","","","234","永和區","新北市永和區國光路2號","大型休閒場所","1樓櫃台左前方","08:30:00","17:00:00","08:30:00","21:00:00","08:30:00","21:00:00","08:30:00","21:00:00","08:30:00","21:00:00","08:30:00","21:00:00","08:30:00","17:00:00","2024-04-03 10:23:31","2025-01-01","2026-07-31","2027-01-11"
"9402","新北市政府警察局永和分局永和派出所","02-29232275","","","234","永和區","新北市永和區安樂路344號","其他","進大門入口左側文書整理區印表機旁","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:57:03","2014-05-29","",""
"6270","CURVES女性30分鐘環狀運動永和福合店","02-29233316","","","234","永和區","新北市永和區中正路608號4F","學校、大型集會場所","運動圓弧區","11:00:00","21:00:00","11:00:00","21:00:00","11:00:00","21:00:00","11:00:00","21:00:00","11:00:00","21:00:00","10:00:00","13:30:00","","","2021-12-20 19:57:14","2014-08-19","2024-08-31","2024-08-31"
"8037","柯達大飯店股份有限公司永和分公司","0229239999","","","234","永和區","新北市永和區永和路一段103號","旅宿場所","一樓大庭","","","","","","","","","","","","","","","2022-02-18 16:27:05","2020-09-25","",""
"6923","新北市私立竹林國民小學","02-29243919","","","234","永和區","新北市永和區竹林路34號","學校、大型集會場所","辦公室門口","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2021-12-20 19:57:16","2014-09-27","2026-05-27","2025-03-01"
"9349","新北市政府警察局永和分局秀朗派出所","02-29251130","","","234","永和區","新北市永和區永利路322巷29號","其他","派出所一樓","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:56:56","2014-05-29","2026-07-31","2025-07-31"
"45898","原動力PowerForceFitness","02-29258958","","","234","永和區","新北市永和區永和路一段156號B1","學校、大型集會場所","人臉辨識閘口","07:00:00","00:00:00","07:00:00","00:00:00","07:00:00","00:00:00","07:00:00","00:00:00","07:00:00","00:00:00","07:00:00","00:00:00","07:00:00","00:00:00","2021-12-20 19:59:04","2021-10-15","2028-06-30","2025-09-22"
"45409","新北市私立復興高級商工職業學校","02-29262121#270","270","","234","永和區","新北市永和區秀朗路一段201號","學校、大型集會場所","西側門口會客室(警衛室)內","07:00:00","22:30:00","07:00:00","22:30:00","07:00:00","22:30:00","07:00:00","22:30:00","07:00:00","22:30:00","","","","","2021-12-20 19:57:26","2013-07-18","",""
"44758","前勁體能訓練中心-永安店","02-29267046","","","234","永和區","新北市永和區中和路519巷6號B1","學校、大型集會場所","入門右側","08:00:00","22:00:00","08:00:00","22:00:00","08:00:00","22:00:00","08:00:00","22:00:00","08:00:00","22:00:00","09:00:00","17:00:00","09:00:00","17:00:00","2021-12-20 19:58:54","2015-02-01","2027-03-01","2025-03-01"
"44705","新北市立圖書館永和保生分館","02-29270658","","","234","永和區","新北市永和區新生路218號5樓","大型休閒場所","新北市永和區新生路218號5樓訊檢索區旁","08:30:00","17:00:00","08:30:00","21:00:00","08:30:00","21:00:00","08:30:00","21:00:00","08:30:00","21:00:00","08:30:00","21:00:00","08:30:00","17:00:00","2024-04-03 10:23:32","2024-12-22","2018-01-03","2016-10-31"
"57836","瓦城永和店","02-29283356","","","234","永和區","新北市永和區永和路二段116號","其他","瓦城永和店","00:11:30","00:21:30","00:11:30","00:21:30","00:11:30","00:21:30","00:11:30","00:21:30","00:11:30","00:21:30","00:11:30","00:21:30","00:11:30","00:21:30","2023-05-30 11:50:11","2023-03-30","2023-12-31","2024-09-30"
"5037","新北市永和區秀朗國民小學","02-29420451","","","234","永和區","新北市永和區得和路202號","學校、大型集會場所","7號門穿堂","05:00:00","21:30:00","05:00:00","21:30:00","05:00:00","21:30:00","05:00:00","21:30:00","05:00:00","21:30:00","05:00:00","21:30:00","05:00:00","21:30:00","2024-02-16 16:12:23","2024-02-21","2023-12-30","2024-11-30"
"44809","智光學校財團法人新北市智光高級商工職業學校","02-29432491#502","502","","234","永和區","新北市永和區中正路100號","學校、大型集會場所","健康中心門內","07:50:00","22:05:00","07:50:00","22:05:00","07:50:00","22:05:00","07:50:00","22:05:00","07:50:00","22:05:00","","","","","2021-12-20 19:57:12","2013-10-01","2023-12-30","2022-11-30"
"9350","新北市政府警察局永和分局得和派出所","02-29451017","","","234","永和區","新北市永和區民權路51號","其他","派出所一樓","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:57:03","2014-05-29","",""
"3046","遠百企業股份有限公司永和分公司","02-29488988","","","234","永和區","新北市永和區民生路46巷46號B1","大型購物場所","B1客服中心","08:30:00","23:00:00","08:30:00","23:00:00","08:30:00","23:00:00","08:30:00","23:00:00","08:30:00","23:00:00","08:30:00","23:00:00","08:30:00","23:00:00","2021-12-20 19:56:59","2014-03-14","2025-11-30","2025-09-01"
"43443","新北市立圖書館永和民權分館","0229495012","","","234","永和區","新北市永和區民權路60號7樓","大型休閒場所","新北市永和區民權路60號7樓","08:30:00","17:00:00","08:30:00","21:00:00","08:30:00","21:00:00","08:30:00","21:00:00","08:30:00","21:00:00","08:30:00","21:00:00","08:30:00","17:00:00","2024-04-03 10:23:32","2025-01-01","2027-04-01","2027-01-11"
"4435","新北市永和區衛生所","02-32332780","","","234","永和區","新北市永和區秀朗路一段137號","其他","衛生所大廳","08:00:00","17:30:00","08:00:00","17:30:00","08:00:00","17:30:00","08:00:00","17:30:00","08:00:00","17:30:00","","","","","2021-12-20 19:57:09","2014-05-26","",""
"3258","新北市政府警察局永和分局","02-8072-5454#4130","4130","","234","永和區","新北市永和區竹林路198號","其他","分局一樓","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:57:01","2014-03-21","2026-01-31","2024-09-30"
"22508","台北菠爾社區","02-82313024","","","234","永和區","新北市永和區環河西路二段187號","其他","B1管理中心大門左前方","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:58:29","2019-08-20","2027-10-31","2025-03-08"
"8345","比漾廣場 (豐東興業股份有限公司)","02-82315555","","","234","永和區","新北市永和區中山路一段238號","大型購物場所","B2F","11:00:00","21:30:00","11:00:00","21:30:00","11:00:00","21:30:00","11:00:00","21:30:00","11:00:00","22:00:00","11:00:00","22:00:00","11:00:00","21:30:00","2021-12-20 19:56:56","2017-07-03","2023-12-31","2024-11-30"
"10379","財團法人世界宗教博物館發展基金會附設台北館","02-82316118","","","234","永和區","新北市永和區中山路1段236號7樓","觀光旅遊地區","財團法人世界宗教博物館發展基金會附設台北館","10:00:00","17:00:00","10:00:00","17:00:00","10:00:00","17:00:00","10:00:00","17:00:00","10:00:00","17:00:00","10:00:00","17:00:00","10:00:00","","2021-12-20 19:57:07","","",""
"8688","香港商世界健身事業有限公司永和民權分公司","02-8668-3600","","","234","永和區","新北市永和區民權路53號B1","學校、大型集會場所","健身中心大門入口處","06:00:00","00:00:00","06:00:00","00:00:00","06:00:00","00:00:00","06:00:00","00:00:00","06:00:00","00:00:00","06:00:00","00:00:00","06:00:00","00:00:00","2021-12-20 19:57:53","2016-09-22","2024-08-30","2025-03-13"
"45712","柏文健康事業股份有限公司永和分公司","02-8921-3535","","","234","永和區","新北市永和區福和路103號B1","其他","柏文健康事業股份有限公司永和分公司","06:00:00","00:00:00","06:00:00","00:00:00","06:00:00","00:00:00","06:00:00","00:00:00","06:00:00","00:00:00","06:00:00","00:00:00","08:00:00","00:00:00","2021-12-20 19:57:52","2019-11-29","",""
"5416","新北市永和區網溪國民小學","02-89364470-825.827","","","234","永和區","新北市永和區竹林路79號","學校、大型集會場所","活力館一樓","18:00:00","21:00:00","18:00:00","21:00:00","18:00:00","21:00:00","18:00:00","21:00:00","18:00:00","21:00:00","18:00:00","21:00:00","18:00:00","21:00:00","2021-12-20 19:58:08","2018-01-05","2019-09-09",""
"4019","永和綠光河岸公園","","","0968833583","234","永和區","新北市永和區光河岸停車場票亭","其他","停車場票亭","07:00:00","18:00:00","07:00:00","18:00:00","07:00:00","18:00:00","07:00:00","18:00:00","07:00:00","18:00:00","07:00:00","18:00:00","07:00:00","18:00:00","2021-12-20 19:57:09","2014-05-02","2019-09-09",""
"9413","新北市立永平高級中學","22319670#299","","","234","永和區","新北市永和區永平路205號","學校、大型集會場所","警衛室","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:57:04","2013-10-16","2026-02-28","2025-04-30"
"56330","新北市私立育才國民小學","2921-4630","","","234","永和區","新北市永和區新北市永和區福和路125巷20號","學校、大型集會場所","學務處前走廊","07:30:00","18:00:00","07:30:00","18:00:00","07:30:00","18:00:00","07:30:00","18:00:00","07:30:00","18:00:00","","","","","2023-11-09 16:53:11","2023-10-26","2024-11-01","2024-11-01"
"3663","新北市立永和國民中學","29218878#613","","","234","永和區","新北市永和區國中路111號","學校、大型集會場所","衛生組門口","06:00:00","21:00:00","06:00:00","21:00:00","06:00:00","21:00:00","06:00:00","21:00:00","06:00:00","21:00:00","06:00:00","21:00:00","06:00:00","21:00:00","2021-12-20 19:59:02","2024-02-23","2028-07-01","2024-02-13"
"10841","新北市永和區永平國民小學","2925-9879","","","234","永和區","新北市永和區保生路25號","學校、大型集會場所","永平國小二聖樓一樓","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","2021-12-20 19:58:08","2023-02-27","2027-09-01","2027-06-30"
"10841","新北市永和區永平國民小學","2925-9879","","","234","永和區","新北市永和區保生路25號","學校、大型集會場所","永平國小活動中心一樓","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","2021-12-20 19:58:08","2023-02-27","2023-11-15","2025-08-31"
"6217","國都汽車股份有限公司北永和服務廠","2927-6261","","","234","永和區","新北市永和區保生路55號","其他","服務廠展間","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","17:00:00","08:00:00","17:00:00","2021-12-20 19:57:19","2014-12-16","2019-02-28","2020-03-31"
"11564","新北市永和區公所","2928-2828","","","234","永和區","新北市永和區竹林路200號","其他","社會人文課28號櫃檯前方","08:00:00","17:30:00","08:00:00","17:30:00","08:00:00","17:30:00","08:00:00","17:30:00","08:00:00","17:30:00","","","","","2021-12-20 19:58:08","2018-01-10","",""
"11564","新北市永和區公所","2928-2828","","","234","永和區","新北市永和區竹林路200號","其他","新北市永和區竹林路200號4樓","08:00:00","17:30:00","08:00:00","17:30:00","08:00:00","17:30:00","08:00:00","17:30:00","08:00:00","17:30:00","","","","","2024-02-23 14:43:39","2024-03-01","",""
"10466","新北市立福和國民中學","29289493#231","","","234","永和區","新北市永和區永利路71號","學校、大型集會場所","游泳池","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","05:30:00","21:00:00","05:30:00","21:00:00","2021-12-20 19:58:08","2018-01-04","",""
"5416","新北市永和區網溪國民小學","89264470#825","","","234","永和區","新北市永和區竹林路79號","學校、大型集會場所","迎曦樓1樓健康中心旁","08:00:00","18:00:00","08:00:00","18:00:00","08:00:00","18:00:00","08:00:00","18:00:00","08:00:00","18:00:00","08:00:00","17:00:00","08:00:00","17:00:00","2021-12-20 19:57:04","2014-08-12","2027-07-31","2025-09-22"
"5217","新北市永和區頂溪國民小學","89790643-6206","","","234","永和區","新北市永和區文化路133號","學校、大型集會場所","學校入口警衛室","07:00:00","22:00:00","07:00:00","22:00:00","07:00:00","22:00:00","07:00:00","22:00:00","07:00:00","22:00:00","07:00:00","22:00:00","07:00:00","22:00:00","2021-12-20 19:56:59","2014-08-29","2027-01-31","2026-06-18"
"5217","新北市永和區頂溪國民小學","89790643-6206","","","234","永和區","新北市永和區文化路133號","學校、大型集會場所","健康中心","07:00:00","22:00:00","07:00:00","22:00:00","07:00:00","22:00:00","07:00:00","22:00:00","07:00:00","22:00:00","07:00:00","22:00:00","07:00:00","22:00:00","2021-12-20 19:57:04","2014-08-05","2020-06-30","2021-05-31"
"9674","新北市永和區永安公有零售市場","週二至週五上午7點至下午4點","","","234","永和區","新北市永和區安樂路431號","其他","安樂路431號","","","","","","","","","","","","","","","2021-12-20 19:58:28","2024-05-15","2026-10-28","2025-03-31"
"43949","新北市石門區乾華國民小學","26381269","","","253","石門區","新北市石門區茂林社區74號","學校、大型集會場所","本校1樓川堂","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","","","","","2024-03-14 13:50:42","2024-04-16","2020-05-30","2019-06-30"
"10407","新北市石門區公所","26381721","","","253","石門區","新北市石門區尖鹿里中山路66號","其他","行政大樓入口右側","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2021-12-20 19:57:12","2017-11-07","2026-12-01","2025-03-08"
"43414","交通部觀光局北海岸及觀音山國家風景區管理處-白沙灣救生站","86355100","","","253","石門區","新北市石門區德茂里下員坑33-6號","觀光旅遊地區","白沙灣救生站","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","2021-12-20 19:58:40","2019-09-30","",""
"45421","新北市石門區衛生所","(02)26381007","","","253","石門區","新北市石門區中山路28-1號","其他","一樓櫃台前面","08:00:00","17:30:00","08:00:00","17:30:00","08:00:00","17:30:00","08:00:00","17:30:00","08:00:00","17:30:00","","","","","2021-12-20 19:58:45","2021-06-02","",""
"22728","長盛育樂股份有限公司(濱海高爾夫球場)","02-26380679","","","253","石門區","新北市石門區尖鹿里尖子鹿路10號","其他","會館大廳大門右側","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","2021-12-20 19:58:31","2019-11-12","",""
"60692","新北市立老梅實驗小學","02-2638-1258","","","253","石門區","新北市石門區老梅路10號","學校、大型集會場所","一心樓一樓打擊教室前","07:00:00","19:00:00","07:00:00","19:00:00","07:00:00","19:00:00","07:00:00","19:00:00","07:00:00","19:00:00","08:00:00","16:00:00","","","2024-03-14 13:50:43","2024-05-29","2028-03-31","2024-09-18"
"3995","新北市石門區石門國民小學","02-26381263","","","253","石門區","新北市石門區尖鹿里中央路9號","學校、大型集會場所","穿堂","07:00:00","18:00:00","07:00:00","18:00:00","07:00:00","18:00:00","07:00:00","18:00:00","07:00:00","18:00:00","08:00:00","16:00:00","08:00:00","16:00:00","2021-12-20 19:58:09","2019-08-01","2024-01-31","2024-09-30"
"5512","新北市立石門實驗國民中學","02-26381273","","","253","石門區","新北市石門區中央路1-9號","學校、大型集會場所","中央穿堂","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","08:00:00","16:00:00","08:00:00","16:00:00","2021-12-20 19:57:02","2014-04-21","2024-09-30","2024-11-30"
"9549","新北市政府警察局金山分局乾華派出所","02-26381274","","","253","石門區","新北市石門區阿里荖14-1號","其他","新北市政府警察局金山分局乾華派出所一樓","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:56:51","2014-04-21","2026-11-01","2025-03-08"
"5250","富基漁港魚產品銷售中心","0226381367","","","253","石門區","新北市石門區楓林15-16號","其他","富基漁港遊客服務中心","10:00:00","18:00:00","10:00:00","18:00:00","10:00:00","18:00:00","10:00:00","18:00:00","10:00:00","18:00:00","10:00:00","19:00:00","10:45:00","19:00:00","2021-12-20 19:57:04","2014-07-10","2031-07-01","2026-06-01"
"56868","阿里磅生態休閒農場","02-26382745","","","253","石門區","新北市石門區阿里磅82-1號","觀光旅遊地區","辦公室","09:00:00","18:00:00","09:00:00","18:00:00","09:00:00","18:00:00","09:00:00","18:00:00","09:00:00","18:00:00","09:00:00","18:00:00","09:00:00","18:00:00","2024-10-18 10:07:34","2022-02-01","2024-09-30","2025-03-31"
"3995","新北市石門區石門國民小學","","","0952656910","253","石門區","新北市石門區尖鹿里中央路9號","學校、大型集會場所","川堂","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","08:00:00","16:00:00","08:00:00","16:00:00","2021-12-20 19:57:05","2014-04-21","",""
"5400","新北市立圖書館石門分館","周一至周日8:30～17:00，(02)26381202#11","","","253","石門區","新北市石門區尖鹿里中央路9-3號2樓","大型休閒場所","新北市立圖書館-石門分館2樓","08:30:00","17:00:00","08:30:00","17:00:00","08:30:00","17:00:00","08:30:00","17:00:00","08:30:00","17:00:00","08:30:00","17:00:00","08:30:00","17:00:00","2024-06-27 15:17:22","2025-01-01","2026-12-31","2024-11-30"
"8257","新北市政府環境保護局石門區清潔隊","星期一至星期五上午8點~下午17點26382522","","","253","石門區","新北市石門區中山路66號","其他","石門區清潔隊調度室","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2023-08-17 15:53:46","2023-08-25","",""
"11587","新北市石碇區公所","26631080","","","223","石碇區","新北市石碇區潭邊里碇坪路一段37號","其他","進入公所1樓大門右側柱子上","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2021-12-20 19:58:25","2019-01-23","2026-11-01","2025-03-08"
"10978","新北市石碇區石碇國民小學","26631244","","","223","石碇區","新北市石碇區石碇西街15號","學校、大型集會場所","行政辦公室","08:00:00","19:00:00","08:00:00","19:00:00","08:00:00","19:00:00","08:00:00","19:00:00","08:00:00","19:00:00","08:00:00","19:00:00","08:00:00","19:00:00","2021-12-20 19:58:09","2018-02-23","2026-11-01","2025-03-08"
"8690","新北市政府警察局新店分局中民派出所","26631254","","","223","石碇區","新北市石碇區靜安路一段236號","其他","進大門右側值班台旁","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","2021-12-20 19:57:07","2014-07-01","",""
"10641","新北市石碇區永定國民小學","26631288","","","223","石碇區","新北市石碇區靜安路一段245號","學校、大型集會場所","健康中心門口走廊","07:30:00","16:00:00","07:30:00","16:00:00","07:30:00","16:00:00","07:30:00","16:00:00","07:30:00","16:00:00","","","","","2021-12-20 19:58:09","2018-05-24","2026-11-01","2025-03-08"
"8823","新北市政府警察局新店分局豐田派出所","26631975","","","223","石碇區","新北市石碇區碇坪路2段22號","其他","值勤台後方","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:57:07","2014-06-27","2026-11-01","2025-03-08"
"22617","新北市政府警察局新店分局石碇分駐所","(02)-26631240","","","223","石碇區","新北市石碇區碇坪路一段79號","其他","新北市政府警察局新店分局石碇分駐所值班台旁","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:58:28","2019-07-05","2026-11-01","2025-03-08"
"11193","新北巿立石碇高級中學","02-26631224#306","306","","223","石碇區","新北市石碇區隆盛里八分寮45號","學校、大型集會場所","至樸樓健康中心門口","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","08:00:00","16:00:00","08:00:00","16:00:00","2021-12-20 19:58:09","2014-04-09","2026-09-08","2024-09-18"
"11193","新北巿立石碇高級中學","02-26631224#306","306","","223","石碇區","新北市石碇區隆盛里八分寮45號","學校、大型集會場所","3號門警衛室內","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","08:00:00","16:00:00","08:00:00","16:00:00","2024-05-31 08:42:34","2014-12-18","",""
